i condest
0 1.72025e+08
1 7.79920e+07
2 4.02141e+07
3 3.28006e+07
4 5.41545e+07
5 6.75453e+07
6 7.12288e+07
7 3.68584e+07
8 4.02796e+07
9 8.98220e+07
10 1.99315e+08
11 5.33877e+08
12 5.61822e+07
13 3.58699e+07
14 1.20853e+08
15 1.24462e+09
16 1.29382e+08
17 8.26394e+07
18 8.18707e+07
19 4.73026e+08
20 1.06115e+08
21 3.49068e+07
22 9.11370e+07
23 5.43213e+07
24 3.73037e+07
25 7.47394e+07
26 3.64609e+08
27 4.22146e+07
28 2.97752e+07
29 2.91848e+07
30 3.97523e+07
31 3.18185e+08
32 8.65144e+07
33 2.88054e+07
34 3.22046e+07
35 1.06353e+08
36 5.76467e+07
37 6.76571e+08
38 8.71461e+07
39 1.23841e+08
40 1.16977e+08
41 1.38768e+09
42 3.14323e+08
43 3.54716e+07
44 6.62308e+07
45 6.74198e+07
46 8.49433e+07
47 7.54425e+07
48 5.70950e+07
49 8.57854e+07
50 4.27495e+07
51 5.97405e+07
52 1.03404e+08
53 8.10213e+07
54 3.85943e+07
55 2.73325e+07
56 8.77946e+07
57 3.67832e+08
58 3.11687e+07
59 5.64884e+08
60 2.02041e+08
61 1.00639e+08
62 1.87477e+08
63 2.35251e+09
64 1.19975e+09
65 3.69487e+07
66 5.56016e+07
67 6.62038e+07
68 9.56551e+07
69 6.92678e+07
70 5.40741e+07
71 9.23343e+07
72 6.95391e+07
73 4.31826e+07
74 7.03360e+07
75 3.07138e+07
76 2.24934e+08
77 1.01456e+08
78 4.31978e+07
79 2.66203e+07
80 3.45596e+07
81 2.59416e+08
82 1.43600e+08
83 1.00976e+08
84 1.14313e+08
85 4.49384e+08
86 1.99457e+08
87 2.55333e+07
88 4.23983e+07
89 6.31912e+07
90 1.09006e+08
91 5.64117e+07
92 6.59358e+07
93 6.55944e+07
94 6.84967e+07
95 9.27681e+07
96 4.73702e+07
97 8.32972e+07
98 9.46334e+07
99 3.78728e+07
100 2.54777e+07
